Speed,MovFlag,Peakrangenorm,Species,ID,Chan,Session,DrugFlag
20.12969147,mov,0.385462802,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.428380464,imm,0.562400213,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.811288034,imm,0.395334872,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.172831896,btwn,0.371948002,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.97332994,btwn,0.310996563,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.570635526,imm,0.282228891,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.091935975,imm,0.58126239,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.857600704,imm,0.289920609,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.887858,imm,0.372799216,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.994230674,btwn,0.195190342,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.052470499,imm,0.492702837,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.260840101,imm,0.398258998,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.211165513,imm,0.694443011,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.319737911,imm,0.570651035,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.008690621,imm,0.455933511,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.411178821,imm,0.216384867,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.896985775,imm,0.313969771,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.270025983,btwn,0.370161933,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.300006502,imm,0.274525286,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.539377513,imm,0.69396627,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
1.250117803,imm,0.218393294,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.964345342,btwn,0.135740001,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.341755453,imm,0.180619312,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.400975121,btwn,0.413076542,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.641550896,imm,0.140717507,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.720188035,btwn,0.270955034,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.939587936,imm,0.174565651,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.64904418,imm,0.232929018,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.824066375,btwn,0.199308667,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.47598605,imm,0.482499462,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
