Species,ID,Recside,Chan,Session,TaskType,Modality,TrialNum,NanIdx,RwdWinIdx,SNR,Duration,Difficulty,Correct,CorrectionTrial,Epoch,Peakrangenorm,Freq,Speed
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,29,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.0860379445628559,8.4,1.71881481032356
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,30,0,1,24.7287241054424,0.25,1,1,0,Hold,0.211170019222278,5.1,1.0935266038882
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,30,0,1,24.7287241054424,0.25,1,1,0,Run,0.690759127408071,10.1,57.6923818592575
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,30,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.569633322678802,8.9,2.60787048143485
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,32,0,1,24.7287241054424,0.25,1,1,0,Hold,0.5149972170445,8.3,1.88280658208439
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,32,0,1,24.7287241054424,0.25,1,1,0,Run,0.725674878795155,10.5,53.3963680910527
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,32,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.169242562308865,7.4,2.87406812891551
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,33,0,1,24.7287241054424,0.25,1,1,0,Hold,0.442582641545503,7.6,1.76438273172312
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,33,0,1,24.7287241054424,0.25,1,1,0,Run,0.610223877448024,10.2,61.3749482581485
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,33,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.217732065635793,7.6,2.81461715565676
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,34,0,1,24.7287241054424,0.25,1,1,0,Hold,0.27840645380976,4,2.05392913440903
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,34,0,1,24.7287241054424,0.25,1,1,0,Run,0.761945634875169,10.4,57.199523141203
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,34,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.323155934555541,8.6,2.36066748709521
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,35,0,1,24.7287241054424,0.25,1,1,0,Hold,0.452774250522261,7.2,2.7331331076062
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,35,0,1,24.7287241054424,0.25,1,1,0,Run,0.619853723206147,10.2,45.4018073440453
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,35,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.208465898360086,7.8,3.33932078697145
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,36,0,1,24.7287241054424,0.25,1,1,0,Hold,0.319094413160066,7.2,0.867127784111464
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,36,0,1,24.7287241054424,0.25,1,1,0,Run,0.733070195004502,10.2,59.9449043101322
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,36,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.214306164316357,7.3,1.98600705458612
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,37,0,0,24.7287241054424,0.25,1,1,0,Hold,0.199851123147359,8,2.18149322858672
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,37,0,0,24.7287241054424,0.25,1,1,0,Run,0.674260942433886,10.4,54.0197147217726
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,37,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,38,0,1,24.7287241054424,0.25,1,1,0,Hold,0.334221635841279,7.1,3.06827874000604
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,38,0,1,24.7287241054424,0.25,1,1,0,Run,0.739737965476945,10,56.8700253727816
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,38,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.47235416418026,4,2.6422002808336
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,39,0,0,24.7287241054424,0.25,1,1,0,Hold,0.438303853948343,8.2,2.70250108298824
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,39,0,0,24.7287241054424,0.25,1,1,0,Run,0.691469810267025,10.5,53.6293484962832
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,39,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,40,0,0,24.7287241054424,0.25,1,1,0,Hold,0.571775693785966,7.7,0.896668335921498
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,40,0,0,24.7287241054424,0.25,1,1,0,Run,0.749198451928633,10.1,57.0769396762682
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,40,0,0,24.7287241054424,0.25,1,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,41,0,1,24.7287241054424,0.25,1,1,0,Hold,0.298673622273622,8.2,3.06192416525261
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,41,0,1,24.7287241054424,0.25,1,1,0,Run,0.634393579384223,10.2,47.0227098056481
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,41,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.197384282495672,5.1,2.12396713530299
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,42,0,1,24.7287241054424,0.25,1,1,0,Hold,0.303952540491451,7.8,4.56723342965267
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,42,0,1,24.7287241054424,0.25,1,1,0,Run,0.680791293590879,10.4,50.209216993015
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,42,0,1,24.7287241054424,0.25,1,1,0,Rwd,0.276042724781183,5.3,2.26592449937011
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,44,0,0,24.7287241054424,2,0,1,0,Hold,0.345824089949043,7.4,3.3644376182636
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,44,0,0,24.7287241054424,2,0,1,0,Run,0.746888460622675,10.4,56.2549115100293
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,44,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,45,0,0,24.7287241054424,2,0,1,0,Hold,0.35675502816588,7.8,1.58645172443019
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,45,0,0,24.7287241054424,2,0,1,0,Run,0.567042257087698,10.3,60.835974901417
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,45,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,46,0,1,24.7287241054424,2,0,1,0,Hold,0.367121747048958,7.3,1.72377837646466
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,46,0,1,24.7287241054424,2,0,1,0,Run,0.590213131123179,10,60.9645098381022
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,46,0,1,24.7287241054424,2,0,1,0,Rwd,0.228360328478763,4.1,2.53944673159295
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,47,0,0,24.7287241054424,2,0,1,0,Hold,0.22855825498507,8.5,3.38924929399436
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,47,0,0,24.7287241054424,2,0,1,0,Run,0.683751992604546,10.5,53.584508501379
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,47,0,0,24.7287241054424,2,0,1,0,Rwd,NaN,4,0
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,48,0,1,24.7287241054424,2,0,1,0,Hold,0.499864330809426,7.4,2.16283469962984
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,48,0,1,24.7287241054424,2,0,1,0,Run,0.644594471139701,10.2,50.5516001703615
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,48,0,1,24.7287241054424,2,0,1,0,Rwd,0.183279488107236,7.8,2.55428677529173
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,49,0,1,24.7287241054424,2,0,1,0,Hold,0.333216884231289,7.7,2.23835214270593
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,49,0,1,24.7287241054424,2,0,1,0,Run,0.623605676368785,10.2,51.5260341489009
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,49,0,1,24.7287241054424,2,0,1,0,Rwd,0.111187414305875,8,1.54282019890436
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,50,0,1,24.7287241054424,2,0,1,0,Hold,0.171910560669266,10.1,1.41182479584294
R,DBLU,RHS,ori,2017-04-12_14-56-17,DUR,A,50,0,1,24.7287241054424,2,0,1,0,Run,0.540663727040437,10.4,61.181766851277
